state,district,mean_stress_index,max_stress_index,stress_volatility,active_months
ARUNACHAL PRADESH,PAPUM PARE,718.054184666529,2536.0,860.2906932657837,10
ARUNACHAL PRADESH,SHI-YOMI,25.59280303030303,48.0,16.697050974040938,10
ARUNACHAL PRADESH,SIANG,105.3443076923077,301.0,96.45208991416409,10
ARUNACHAL PRADESH,TAWANG,124.94267750040915,342.0,126.47307787840289,10
ARUNACHAL PRADESH,TIRAP,113.71717171717171,355.0,116.66455695033017,10
ARUNACHAL PRADESH,UPPER SIANG,104.9425,221.0,73.34222299338295,10
ARUNACHAL PRADESH,UPPER SUBANSIRI,343.1436564757482,1235.0,406.18434796201933,10
ARUNACHAL PRADESH,WEST KAMENG,329.4068176824457,967.0,405.1764596142514,10
ARUNACHAL PRADESH,WEST SIANG,350.17934731934736,1653.0,502.6089985915243,10
ASSAM,BAJALI,11.643333333333334,60.833333333333336,19.375764739985343,10
ASSAM,BAKSA,26.646300687563336,171.66666666666666,51.59508646217886,10
ASSAM,BARPETA,47.68032813286365,301.536231884058,91.48027500315568,10
ASSAM,BISWANATH,633.0402752238658,3800.0,1180.4198678599162,10
ASSAM,BONGAIGAON,34.63489441561932,150.67777777777778,42.308302948528414,10
ASSAM,CACHAR,2167.170671289817,15421.0,5046.531379988592,10
ASSAM,CHARAIDEO,517.4476124263657,2715.0,920.0310937471996,10
ASSAM,CHIRANG,579.4147938875424,3708.0,1251.8880344957886,10
ASSAM,DARRANG,815.3421930516604,8085.0,2554.3040720718823,10
ASSAM,DHEMAJI,15.561340511482019,104.29069767441861,31.44422758746874,10
ASSAM,DHUBRI,406.10789892793287,3937.0,1240.7056992921002,10
ASSAM,DIBRUGARH,32.60092012949836,260.5135135135135,80.22448818146664,10
ASSAM,DIMA HASAO,5.363571428571428,36.25,11.297008839961077,10
ASSAM,GOALPARA,875.1873277649563,8678.0,2741.639488476399,10
ASSAM,GOLAGHAT,1045.325807234866,10411.0,3290.766456619089,10
ASSAM,HAILAKANDI,702.7495038873908,3043.0,1227.221934494573,10
ASSAM,HOJAI,221.59646972614837,2081.0,653.6860365580519,10
ASSAM,JORHAT,707.0738309678179,6989.0,2207.256854170796,10
ASSAM,KAMRUP,26.13082001347841,198.72340425531914,60.853368513366526,10
ASSAM,KAMRUP METRO,943.7233289752887,9360.0,2957.184584019274,10
ASSAM,KARBI ANGLONG,1472.2804693442206,9898.0,3123.1523204475156,10
ASSAM,KARIMGANJ,780.5173092124434,7763.0,2453.398241907199,10
ASSAM,KOKRAJHAR,10.930458048536886,25.18807339449541,7.975829634670484,10
ASSAM,LAKHIMPUR,18.698249666582694,129.07843137254903,39.044522820602076,10
ASSAM,MAJULI,228.8130209664811,1068.0,352.27613950225725,10
ASSAM,MARIGAON,8.236738450402754,22.809872029250457,7.157836921249023,10
ASSAM,NAGAON,883.1352172342522,8227.0,2584.1426195124955,10
ASSAM,NALBARI,992.196772680787,7530.0,2349.572418641065,10
ASSAM,NORTH CACHAR HILLS,166.18686334352734,905.0,298.19013841588946,10
ASSAM,SIBSAGAR,551.5234624297078,2717.0,988.7968919819581,10
ASSAM,SIVASAGAR,0.0,0.0,0.0,10
ASSAM,SONITPUR,22.702128049057254,165.6829268292683,50.379663258116814,10
ASSAM,SOUTH SALMARA MANKACHAR,1022.6885637216919,5813.0,2040.3315152115858,10
ASSAM,SRIBHUMI,14.55819356034948,77.96774193548387,24.795183370152884,10
ASSAM,TAMULPUR DISTRICT,9.880357142857143,48.0,15.597755272137027,10
ASSAM,TINSUKIA,220.07025791082324,2128.0,670.4306244103792,10
ASSAM,UDALGURI,327.567377742408,1660.0,655.5354681072133,10
ASSAM,WEST KARBI ANGLONG,69.09784468340577,651.0,204.5517109781426,10
BALANAGAR,IDPL COLONY,0.2,2.0,0.6324555320336759,10
BIHAR,ARARIA,10991.918065448033,62514.0,20819.202676737772,10
BIHAR,ARWAL,1938.8553830266242,11251.0,3706.899813504411,10
BIHAR,AURANGABAD,8808.313429800193,40309.0,12607.055223873353,10
BIHAR,AURANGABAD(BH),3.287218144174666,12.173913043478262,4.519999177877334,10
BIHAR,BANKA,7206.221721846506,40249.0,13401.437463546969,10
BIHAR,BEGUSARAI,11419.673646053005,57467.0,18747.49043343248,10
BIHAR,BHABUA,1.9143398268398268,6.571428571428571,2.6307602513686335,10
BIHAR,BHAGALPUR,105.79274309582998,938.8888888888889,292.8919693235578,10
BIHAR,BHOJPUR,8389.812108828679,49285.0,15399.820934717436,10
BIHAR,BUXAR,5719.174762673665,28213.0,8701.933486410964,10
BIHAR,DARBHANGA,14973.201491858887,62138.0,21669.960615600943,10
BIHAR,EAST CHAMPARAN,13134.466722268713,85114.0,27065.383973519205,10
BIHAR,GAYA,9356.403904302348,93479.0,29557.667727830023,10
BIHAR,GOPALGANJ,5496.454176737633,38892.0,12764.458208119504,10
BIHAR,JAMUI,3814.9644884314584,29344.0,9378.596835001437,10
BIHAR,JEHANABAD,2390.292172028543,16294.0,5128.47985827388,10
BIHAR,KAIMUR (BHABUA),2364.0775657455115,23504.0,7427.816374869359,10
